"study","group","trial","condition","delay","embed","radius","RR_HR","DET_HR","maxL_HR","L_HR","ENTR_HR","LAM_HR","TT_HR","delay","embed","radius","RR_Resp","DET_Resp","maxL_Resp","L_Resp","ENTR_Resp","LAM_Resp","TT_Resp"
"Study2","10_and_6","v4","Conversation",30,10,2.64562373610073,2.43210932182321,84.6802962533727,27,3.94408130561296,1.87909488840655,96.518660702968,7.09585302536111,12.5,2,0.408805804177442,4.34425407326975,68.9399474434169,24,2.91699260448513,1.31297201598998,85.5194907420489,3.72697686691881
"Study2","10_and_6","v4","TurnTaking",30,10,2.64562373610073,2.11183880069436,82.8825259118684,27,3.69822732982832,1.77158549925648,94.955266834894,6.57549281536573,12.5,2,0.408805804177442,4.11593492307994,67.7930067784912,31,3.02968392993145,1.37669412389048,85.5892089488013,3.75669004207574
"Study2","10_and_7","v1","Conversation",30,10,2.64562373610073,3.44651951340197,95.3901298303006,297,7.02805630089912,2.63434911649738,96.8398589245553,8.92247012421263,12.5,2,0.408805804177442,4.38826951620189,79.9762630722937,41,3.36536682977686,1.58838057174157,91.72883956794,4.8905957047895
"Study2","10_and_7","v1","Synchronous",30,10,2.64562373610073,4.124297729149,96.1685291872007,193,7.38176229508197,2.69706474095391,97.569557533464,9.57249869041383,12.5,2,0.408805804177442,5.88484718399367,87.9336444309357,52,4.06475384996832,1.89238541899387,92.6737110606521,5.3609598014204
"Study2","10_and_7","v1","TurnTaking",30,10,2.64562373610073,2.50145282230689,96.1899731502267,144,8.24905631888872,2.80940638657897,97.3484748448435,10.6003642638037,12.5,2,0.408805804177442,4.08885928806512,86.1593951168466,35,3.68868773295632,1.73494996890406,94.5571666902547,5.6238649117437
"Study2","10_and_7","v2","Conversation",30,10,2.64562373610073,3.13294331559705,91.2119039586145,68,5.49659028336651,2.34952726317119,96.9031151596941,7.22189628077528,12.5,2,0.408805804177442,4.23496951536016,72.2667815040103,32,3.07397622192867,1.41658393287376,85.7280094078285,3.6838134552766
"Study2","10_and_7","v2","Synchronous",30,10,2.64562373610073,4.76208617135574,93.9473951926901,99,5.33521533613445,2.32952812222401,96.0463159062954,6.44063381810289,12.5,2,0.408805804177442,4.29327682522046,67.6860300785047,29,2.95762908493816,1.34592612863679,86.2359389934076,4.16746609818203
"Study2","10_and_7","v2","TurnTaking",30,10,2.64562373610073,2.55227682964775,92.8371137934307,86,5.42671979019568,2.33795955304999,94.3797830944842,6.4108890581961,12.5,2,0.408805804177442,3.89152630825821,66.0997855044251,25,2.95451981952949,1.33467679601864,85.3354422394059,3.74151420555578
"Study2","10_and_7","v3","Conversation",30,10,2.64562373610073,4.05125473419683,95.2264993966539,271,8.9392795183182,2.69652545684861,96.4060138932675,14.154988028731,12.5,2,0.408805804177442,4.6246903136565,76.772395487724,40,3.27316229367735,1.54151348875809,87.3178500331785,4.17959561492667
"Study2","10_and_7","v3","Synchronous",30,10,2.64562373610073,3.42104144733032,97.7380837436838,290,8.92027963811538,2.63199321533359,99.2250008046088,14.9850296490716,12.5,2,0.408805804177442,4.43219727896883,73.6452909617485,30,3.1269339963378,1.45648338965561,79.1757006979284,3.40598086938762
"Study2","10_and_7","v3","TurnTaking",30,10,2.64562373610073,5.29492347881962,98.9482264577814,351,12.0284125379171,2.97492979741439,99.8673326374189,21.4729500134132,12.5,2,0.408805804177442,4.56554127421025,74.7311332350049,32,3.22617231544737,1.50098003053732,82.0711959193707,3.88703134379946
"Study2","10_and_7","v4","Conversation",30,10,2.64562373610073,2.8025872678815,92.7539875854483,167,5.53644123440578,2.34589963994327,97.1878683114638,7.65983403517463,12.5,2,0.408805804177442,4.46628732719993,75.5901245425848,26,3.16419038853461,1.47003562585289,85.5496050131139,3.76304790853511
"Study2","10_and_7","v4","Synchronous",30,10,2.64562373610073,3.60368196591136,91.7738574632292,159,5.216456531555,2.25699347632164,95.1860384114782,6.45709666721937,12.5,2,0.408805804177442,4.60450633962667,76.8522397495563,38,3.45685653104925,1.63032757016494,85.8447523364842,4.27634225004743
"Study2","10_and_7","v4","TurnTaking",30,10,2.64562373610073,2.19809427589112,91.3713822017852,42,4.90065015313524,2.21325974685398,94.7955799997996,6.15801119354419,12.5,2,0.408805804177442,3.65182627262499,78.9509572766955,34,3.3133753854215,1.54288997558477,85.4845447953632,3.75765699208443
"Study2","10_and_8","v1","Conversation",30,10,2.64562373610073,5.12252263242814,94.3595188761166,148,6.40355329949239,2.41554531067152,95.8954870992425,7.37654178102576,12.5,2,0.408805804177442,4.33476707939474,71.5674455483996,34,3.10486503562779,1.42998706495835,82.5746787921939,3.92315823867459
"Study2","10_and_8","v1","TurnTaking",30,10,2.64562373610073,3.83432782938108,93.4385463149613,129,6.12983196443373,2.50438886397134,94.8944137190377,7.23500306506699,12.5,2,0.408805804177442,4.2983798108353,81.8694745774467,35,3.34415411278496,1.58020538989823,90.1442984370729,4.15477041104133
"Study2","10_and_8","v2","Conversation",30,10,2.64562373610073,3.78548569407691,95.5655740089003,84,6.37394273298673,2.56369713746304,97.4014717431139,7.59321572717791,12.5,2,0.408805804177442,4.14942874618767,59.0914661719275,31,2.75874043090522,1.18525438496807,85.2233299383407,3.69059863472484
"Study2","10_and_8","v2","TurnTaking",30,10,2.64562373610073,6.66659913621208,95.0323874202701,177,7.25567436699284,2.69170948015862,95.7749363317159,8.17174905585931,12.5,2,0.408805804177442,3.92575664475364,64.6237961655976,30,2.87521116123775,1.26578769605159,84.7825504315043,3.7050245959241
"Study2","10_and_8","v3","Conversation",30,10,2.64562373610073,4.99762065251595,98.4190350297422,221,10.9469711821212,2.94624518782822,99.4263053536021,19.8093231498551,12.5,2,0.408805804177442,4.34371045624549,66.5137948018183,41,3.08145211064769,1.40523065408239,75.9028994517606,3.57398395620271
"Study2","10_and_8","v3","TurnTaking",30,10,2.64562373610073,7.1477095835184,98.7565813998626,301,14.967222300042,3.22114950793778,99.7097868381245,29.1206586287565,12.5,2,0.408805804177442,4.63935043727852,71.6322511632478,26,3.0029155904863,1.36930198628282,79.205173854045,3.40581217696584
"Study2","10_and_8","v4","Conversation",30,10,2.64562373610073,3.5752971541859,89.7967479674797,77,4.64741321602754,2.10854959018096,96.8360433604336,7.57810767821854,12.5,2,0.408805804177442,4.55796570793667,69.5448599569098,30,2.99615454741344,1.3616288998668,86.3404124345953,3.7705568063443
"Study2","10_and_8","v4","TurnTaking",30,10,2.64562373610073,3.62949034398913,87.2443438639494,27,4.39168677274532,2.04732485256933,94.2750013651173,6.62001533742331,12.5,2,0.408805804177442,4.31256646156522,75.3417694753706,34,3.17982117420927,1.47884209079147,86.2478957084652,3.85388011701219
"Study2","10_and_9","v1","Conversation",30,10,2.64562373610073,3.06705708077736,94.6582423894314,134,5.88413817727394,2.44472766866055,96.3153360137852,7.22546590541851,12.5,2,0.408805804177442,4.38616519223701,75.1790119261323,43,3.28127453888705,1.51435289544324,85.4379645214554,3.98381864956564
"Study2","10_and_9","v1","TurnTaking",30,10,2.64562373610073,1.70753690520992,91.9940161460886,96,5.14304253785148,2.25875275135478,93.4577390317505,5.74557995718703,12.5,2,0.408805804177442,4.35053197309832,75.7556702983986,44,3.19870311117163,1.48221992709087,83.5173383959918,3.73271001098921
"Study2","10_and_9","v2","Conversation",30,10,2.64562373610073,3.38697526909969,94.3273431811089,126,6.21953101556137,2.5081772309427,96.9930042650577,8.02749677141627,12.5,2,0.408805804177442,4.2066312859664,64.0169247764554,22,2.75461443254588,1.19167309348928,85.7623444567188,3.62170583575389
"Study2","10_and_9","v2","TurnTaking",30,10,2.64562373610073,3.37380683045591,92.9841394164872,42,5.65905299118138,2.37984514052336,95.4317603289603,7.61039975015615,12.5,2,0.408805804177442,3.70920417273413,66.6876261706986,26,2.82753021829334,1.23813845162267,86.1175591790808,3.64893830128205
"Study2","10_and_9","v3","Conversation",30,10,2.64562373610073,3.99558615076629,97.0542199883161,242,9.30963205751745,2.68883418919022,98.1515161535663,16.6394468840512,12.5,2,0.408805804177442,3.92566896458844,65.4569982533961,25,2.79027344047528,1.2172696588526,76.784461925374,3.14716760042477
"Study2","10_and_9","v3","TurnTaking",30,10,2.64562373610073,2.60272648338167,97.2612822985938,102,8.52543755562148,2.61204539298237,98.6378327157047,12.7623426382047,12.5,2,0.408805804177442,3.53061721224773,68.7222787890829,24,2.83476408039501,1.24298944715848,77.4708818635607,3.0947619047619
"Study2","10_and_9","v4","Conversation",30,10,2.64562373610073,2.50121059350241,91.1633680800113,133,4.65924226061915,2.1305939551043,96.7442597548951,6.81505829818903,12.5,2,0.408805804177442,3.93564696738859,68.0994688814429,31,2.92063825721384,1.30895290077094,85.1834854209738,3.63631003328578
"Study2","10_and_9","v4","TurnTaking",30,10,2.64562373610073,2.20152952075471,87.5598899724931,27,4.21240556277369,1.98199412583978,94.7696924231058,6.51085761407367,12.5,2,0.408805804177442,4.17580293988087,70.3523749931759,29,3.10668521094112,1.42038918200922,86.0263640830313,3.76628486330459
"Study2","5_and_6","v1","Conversation",30,10,2.64562373610073,6.76117847396294,88.4000573222684,44,4.94101798587344,2.20897080601195,92.5474537187822,6.25118796198522,12.5,2,0.408805804177442,4.8897649890996,77.6607457296452,40,3.28648829126891,1.5439782698106,85.4318410850628,3.87247220235386
"Study2","5_and_6","v1","TurnTaking",30,10,2.64562373610073,5.11818453474783,89.2614821985587,28,4.95062877323597,2.21442536461789,91.6278369366462,5.43682826580889,12.5,2,0.408805804177442,4.44662943416131,73.1136446991178,33,3.31820947880871,1.54132172857999,82.9400838423952,3.9862772228435
"Study2","5_and_6","v2","Conversation",30,10,2.64562373610073,3.593992813732,83.0916187220068,20,3.70395761068473,1.77190945753385,89.205864872648,4.31998101002908,12.5,2,0.408805804177442,4.37997497257364,78.0133723025183,42,3.31344907919125,1.53480772035467,85.0314289146014,3.68995951839047
"Study2","5_and_6","v2","TurnTaking",30,10,2.64562373610073,2.73088754175419,79.2329898237296,20,4.17399430780341,1.96728901433118,90.3978583063203,5.1024532338082,12.5,2,0.408805804177442,4.02425654234321,74.571322744406,38,3.17248155426199,1.4398129832808,84.5998649149182,3.63967679646051
"Study2","5_and_6","v3","Conversation",30,10,2.64562373610073,6.50494444041953,89.7315504400812,79,6.96646429603932,2.4313442201582,94.4766418415708,11.6348021845166,12.5,2,0.408805804177442,5.19480428384244,86.9553329102472,49,3.9374063770597,1.85531426413352,94.3241199584115,5.60435637209675
"Study2","5_and_6","v3","TurnTaking",30,10,2.64562373610073,5.63721480035612,89.6263598898416,101,8.40066637375513,2.65265704924463,91.7529639250767,13.8729549347351,12.5,2,0.408805804177442,4.56208667570123,81.6447886836694,50,3.58437679300685,1.7019066458195,91.6050047087313,4.64542601508743
"Study2","5_and_6","v4","Conversation",30,10,2.64562373610073,4.15545716172582,82.2067130880841,22,3.49688922952076,1.67828676734923,90.5705171006751,4.4123402607461,12.5,2,0.408805804177442,4.24628025667141,68.9431169624937,30,3.01455425341736,1.36176558586498,84.6745351977733,3.70127807061882
"Study2","5_and_6","v4","TurnTaking",30,10,2.64562373610073,2.51023912166955,78.5155359053985,23,3.41301860890787,1.63385087713501,90.3301928171658,5.16585561631465,12.5,2,0.408805804177442,3.940995457466,67.4980087836004,33,3.05653952326261,1.36504055029139,84.7363807472735,3.56077859426712
"Study2","5_and_7","v1","Conversation",30,10,2.64562373610073,5.28776671868714,92.7408943637923,120,6.55505842875225,2.50082340177605,97.2372837593597,10.1766039051604,12.5,2,0.408805804177442,4.57516855634959,83.8340979911921,40,3.65215648950558,1.73167120540481,91.84518265549,4.8955013483697
"Study2","5_and_7","v1","TurnTaking",30,10,2.64562373610073,5.98633257001899,95.1730556301476,251,7.26393958111067,2.64714368609789,97.0428436374605,10.8908888246708,12.5,2,0.408805804177442,4.51915846681762,83.9441691533408,43,3.86994633273703,1.80283943314182,94.3913048539621,6.0071368597817
"Study2","5_and_7","v2","Conversation",30,10,2.64562373610073,3.68573146823026,84.5078416728902,23,3.7624354950258,1.80169930649808,88.7707244212099,4.13975648491265,12.5,2,0.408805804177442,4.23837150577006,73.0532282422061,33,3.2008048873339,1.47351285250688,85.3803347193777,3.72128250441808
"Study2","5_and_7","v2","TurnTaking",30,10,2.64562373610073,4.83603201912462,92.440303808535,136,5.19486169042197,2.27542717521399,93.7084494472069,5.76166078727812,12.5,2,0.408805804177442,3.51087163904391,61.9307823324626,28,2.68821004249415,1.11241573275671,83.544196314851,3.3262339418526
"Study2","5_and_7","v3","Conversation",30,10,2.64562373610073,7.02349024841885,93.4653924777707,141,8.15611491108071,2.58737110196693,97.4309291796782,15.9680386413853,12.5,2,0.408805804177442,4.77329065764333,80.497356713287,44,3.53636216914138,1.67949819400427,87.8823948655212,4.27474982130093
"Study2","5_and_7","v3","TurnTaking",30,10,2.64562373610073,8.09028792416741,98.4030724591922,226,11.2418296588824,2.72319587206392,99.8701662797059,23.4301404853129,12.5,2,0.408805804177442,4.14863962470084,72.1288539086475,35,3.21824491258511,1.49000972246063,81.5037746536026,3.83736666135966
"Study2","5_and_7","v4","Conversation",30,10,2.64562373610073,2.97752050631986,84.7279127900957,21,3.68384835525258,1.76836207885281,88.5440856716021,4.07210639093908,12.5,2,0.408805804177442,4.12342280918832,74.7984179637663,38,3.14129308805144,1.44136214037482,84.1069150293442,3.53569321533923
